semester,subject_code,unit_number,topic_name,description
3,BCSE-501,1,Unit 1,"Re-explore Linear Data Structure, Static and Dynamic Memory Management Linked Lists: Introduction, singly linked list, representation of a linked list in memory, operations on a single linked list; Applications of linked lists: Polynomial representation and sparse matrix manipulation. Types of linked lists: Circular linked lists, doubly linked lists; Linked list representation and operations of Stack, linked list representation and operations of queue"
3,BCSE-501,2,Unit 2,"Trees: Basic concept, binary tree, binary tree representation, array and linked representations, binary tree traversal, binary tree variants, threaded binary trees, application of trees."
3,BCSE-501,3,Unit 3,"Binary search trees: Binary search trees, properties, and operations; Balanced search trees: AVL trees; Introduction to M-Way search trees, B trees;"
3,BCSE-501,4,Unit 4,"Graphs: Basic concept, graph terminology, Graph Representations - Adjacency matrix, Adjacency lists, graph implementation, Graph traversals – BFS, DFS. Hashing and collision: Introduction, hash tables, hash functions, collisions, applications of hashing. Course Outcomes: After completion of this course, student will be able to: Select appropriate data structures as applied to specified problem definition. Implement Linked list data structures. Implement appropriate technique of tree and graph for given problem. Implement real life applications using Hashing and Collision Resolution Technique. Instructions for paper setter: All Questions are compulsory. The Question paper is divided in to four sections A, B, C and D. Section A is compulsory and comprises of 12 questions of one mark each, 3 from each unit. The questions shall be asked in such a manner that there are no direct answers including one word answer, fill in the blanks or multiple choice questions. Section B comprises of 4 questions of 2 marks each, one from each unit. Section C Comprises of 4 questions of 4 marks each, one from each unit. Section D Comprises of 4 questions of 6 marks each, one from each unit. There is no overall choice, however internal choice may be provided in section C and D, if paper setter so desires. Text Books: Ellis Horowitz and Sartaj Sahni, “Fundamentals of Data Structures”, Illustrated Edition, Computer Science Press. Seymour Lipschutz, “Data Structures”, Schaum's Outline Series, McGraw Hill Publication. Reference Books: R. L. Kruse, B.P. Leary and C.L Tondo, “Data structure and program design in C”, PHI. A. V. Aho, J. E. Hopcroft and T. D. Ullman, “Data Structures and Algorithms”, Addison-Wesley. B. Tech. (3rd Sem) (Common for All Streams except CSE-Industry Integrated) BCSE-501L (Data Structure & Algorithms Lab) L T P Continuous evaluation 40 0 0 2 End semester exam 60 Total marks 100 Credits 1.0 Course Objectives: List of Practical 1. Declare a 2D Array with dimensions of 9 x 9. Implement the following operations on this array: i) Search ii) Traversal iii) Sum of all elements iv) Insertion v) Deletion. Use the learned concept of this practical to solve Su-Do-Ku Puzzle whose statement is: Su-Do-Ku Puzzle – A Sudoku is a problem where there are is an incomplete 9 x 9 table of numbers which must be filled according to several rules: ü Within any of the 9 individual 3 x 3 boxes, each of the numbers 1 to 9 must be found. ü Within any column of the 9 x 9 grid, each of the numbers 1 to 9 must be found. ü Within any row of the 9 x 9 grid, each of the numbers 1 to 9 must be found. 2. Implement representation of sparse matrix using array and link list. Use the learned concept of this practical to solve Conway Game of Life whose statement is: Conway Game of Life – The project introduces the learner to the challenge of implementing a two-dimensional array when the vast majority of the elements are empty, or they are zero. This has the learners explore how best to implement a sparse matrix, tests the implementation using the Conway’s Game of Life and determines which is best. 3. Implement various operations of Stack. Use the learned concept of this practical to solve Tower of Hanoi problem (with & without recursion) whose statement is: Tower of Hanoi – The Tower of Hanoi is a mathematical problem which consists of three rods and multiple disks. Initially, all the disks are placed on one rod, one over the other in ascending order of size similar to a cone-shaped tower. The objective of this problem is to move the stack of disks from the initial rod to another rod, following these rules: · A disk cannot be placed on top of a smaller disk. · No disk can be placed on top of the smaller disk. 4. Implement various operations of Queue. Use the learned concept of this practical to implement job scheduling algorithms used to solve Job scheduling problem whose statement is: Job Scheduling – Job scheduling is the process of allocating system resources to many different tasks / jobs by an operating system (OS). The system handles prioritized job queues that are waiting CPU time and it should determine which job to be taken from which queue and the amount of time to be allocated for the job. 5. Implement memory representation of binary tree using array and link list. 6. Represent a mathematical expression in the form of binary tree & evaluate that mathematical expression. Use the learned concept of 5th & 6th practical to make Expression Calculator which is used for Converting infix to postfix expressions and evaluating results using trees data structure. 7. Implement memory representation of given location in graph. Use the learned concept of this practical to solve Travelling salesman problem which is the challenge of finding the shortest yet most efficient route for a person to take given a list of specific destinations. Integrated Project (Mandatory) based upon the learnt concepts Dictionary Management – In this project, students will be required to read a dictionary file into different data structures (Array, Linked List, Stack, Queue) to perform various operations (Search, Insert (with sorting), Delete, View) and improve searching using hashing techniques. Course Outcomes: After completion of this course, students will be able to: 1. Write well-structured procedure-oriented programs. 2. Implement the Stack ADT using both array based and linked-list based data structures. 3. Implement the Queue ADT using both array based circular queue and linked-list based implementations. 4. Implement binary search trees and graphs. | Develop and analyse algorithms for linked list. | To introduce the concepts of Tree and Graph and their traversal algorithms | Implement various Hashing and Collision Resolution Technique | To introduce various techniques for representation of the data in the real world"
3,BHUM-118,1,Unit 1,"Course Introduction- Need, basic guidelines, content and process for value education. 1. purpose and motivation for the course, recapitulation from Unil'ersal Human Value-1 Z. Seli- Exploration- What is it ? Its content and process; Natural 'Acceptance' and Experiential validation - as the process for the self-exploration. 3. Contentious Happiness and prosperity - A look at basic Human Aspirations. 4. Right understanding relationship and physical facility- the basic requirement for fulfillment of aspirations of every human being with their correct priority' 5. UndLrstanding Halpiness and prospeiity correctly - A Critical Appraisal of the current scenario 6. Method to fulfil the'above human ispirations: understanding and living in harmony at various levels. InclLrde practice sessions to discuss natural acceptance in human being as the innate acceptance for living with ,.rpontibility rather than as arbitrariness in choice based on liking -disliking' i"
3,BHUM-118,2,Unit 2,"Understanding Harmony in the Human tieing - Harmony in Myself. L. Understanding human- being as a co-existence of the sentient 'I' and the material Body. 2. Understanding the needs ofselfand body- happiness and physical facility. 3. Understanding the body as an instrument of 'l' 4. Understandin[ the chaiacteristics and activities of 'I' and Harmony in 'l' 5. Understanding the harmony of I with the Body: Sanyam and Health; correct appraisal of Physical needs, meaning of Prosperity in detail 6. Programs to ensure Sanyam and Health. Includi practice sessions to discuss the role other have played in making material goods available tome. Identifying from one's own life. Differentiate between prosperity and accumulation. Discttss program for ensuring health vs dealing with disease."
3,BHUM-118,3,Unit 3,"Understanding Harmony in the Family and Society- Harmony in Human-fluman Relationship l. Understanding values i-n human-human relationship; meaning of Justice (nine universalvalues in relationships) and program foiits fulfilment to ensure mutual happiness; Trust and Respect as the foundational values of relationship 2. Understanding the meaning of Trust; Difference between intention and competence 3. Understandin[ the rneanin[ of Respect, Difference between respect and differentiation;the other salient values in relationship 2t i, @Y Unit-fV: Understanding Harmony in the Nature arrd Existencc - Whole existence as Coexistence 1. Understanding the harmony in the Nature 2. Interconnectedness and mutual fulfihnent alnong the four orders of nature- recyclability and self-regulation in nature. 3. Understanding Existence as Co-existence of nutualJltjnteractlrlg.pnits in all-pervasive space. 4. Holistic perception of harmony at all levels of existence. 5' Include practice sessions to discuss human being as cause of imbalance in nature (film ',Home,'can be used), pollution, depletion ofresources and role oftechnology etc. 6. Natr.rral acceptance of human yalues Universal Order 7. Competence in professional ethics: a. Ability to utilize the professional competence for augmenting universal human order b. Ability to identify the scope and characteristiis of people friendly and eco-fr[ndly piduction systems, c. Ability to identify and develop appropriate technologies and management patterns for above production systems. 8' Case studies of typical holistic technologies, management models and production systems include practice Exercises and Case Studies will be taken up in Practice (tutorial) Sessions e.g. to discuss theconduct as an engineer or scientist etc. 4. Understanding the harmony in the society (sociiriy t.rcirrg iLrr Jxiv,,rion of family): Resolution, prosperity, fearlessness (trust) and co-existence as comprehensive l-Iuman Goals. 5. Visualizing a universal harmonious order in society- Undivided Society, Universal Order- from family toworld family. Include practice sessions to reflect on relationships in family, hostel and institute as extended family, real.life examples, teacher-student relationship, goal of edLrcation etc. Cratitude as a universal value in relatlonships. Discuss with scenarios. Elicit examples from students' Iives. Text Book 1 . Human Values and Professional Ethics by R R Gaur, R Sangal, G P Bagaria, Excel Books, New Delhi, 201 0 Reference Books 1. leevan vidya: EkParichaya, A Nagaraj, Amarkantak , lggg. Jeevan vida prakashan, 2. Human values, A.N. Tripathi, New Age Intl. pubrishers, New Delhi, 2004. 3. The Story of Stuff (Book) 4. The Story of My Experiments with Truth - by Mohandas Karamchand Gandhi. 5. Srnall is Beautiful -8. F Schumacher. 6. Slow is Beautiful - Cecile Andrews 7. Economy of Permanence - J C Kumarappa 8. Bharat Mein Angreji Raj - panditSunderlal 9. Rediscovering India - by Dharampal 10. Hind swaraj or lndian Home Rule - by Mohandas K. Gandhi LL. lndia Wins Freedom - Maulana Abdul Kalam Azad 12. Vivekananda - Romain Rolland (English) Note: All Questions are compulsory. The Question paper is di.zided in to four sections A, B, C and D. Section A iscompulsory and comprises of 12 questions of one mark each, 3 from each unit. The questions shall be asked in such a lnallner that there are no direct answers inciuding one word answer, fill in the blanks or multiple choice questions.Section B comprises of 4 questions of 2 marks each, one flom each unit. Section C Comprises of 4 quesiions of 4marks each, one from each unit. Section D Comprises of4 questions of 6 marks each, one from each unit. There is nooveralI choice, however internal choice may be provicled in section C and D, if paper setter so desires. Head"
3,BCSE-855,1,Unit 1,"Quantitative Aptitude Vedic Mathematics Speed Calculation techniques, Simplification Techniques, Number System- Cyclicity, Number System- Remainder Theorem, Number System- Trailing Zeros, Factorial, Factors, HCF & LCM, Perc"
